Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,World,WLD,4.97929949835611,5.00356427730727,5.02536741801434,5.04555059501025,5.05647011634277,5.04068707610195,4.99208474269466,4.97327568987198,4.92208946946683,4.85597629197145,4.77857249400438,4.66926833061356,4.53970360967468,4.41046992617455,4.28877081249758,4.15688867007511,4.04038291833104,3.93673720721488,3.84307225254028,3.77341511982795,3.71365239125587,3.65661401193735,3.62715510086943,3.59456809997026,3.56419512849652,3.53598416700408,3.49952424712173,3.4551605712222,3.39893831406197,3.32449529750155,3.24854712566811,3.15752060355108,3.07154779372409,2.98750180451949,2.92195451446999,2.86273131009326,2.81719959978836,2.77737566708572,2.74651561720851,2.71698754076488,2.69627739852395,2.66649839138412,2.64359612888997,2.62496905781507,2.6087473204182,2.58816292786263,2.57726313569244,2.56708665613408,2.55498621910724,2.53429165672021,2.5163852405639,2.49863756430494,2.48892369255613,2.47231363665771,2.46480912533581,2.45543225373231,2.44484850440094,2.42729476506769,2.41492177494957,2.40172011639036,2.38712292764477,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
